idx,name,min,max,median_mean,median_std,median_pct_zero,median_n_unique,normalized,constant,flags
0,elevation,-1.0,3973.0,1289.9877,159.3096,0.0,793.0,False,False,
1,aspect,-1.0,359.0,159.1928,101.3166,0.09,361.0,False,False,
2,slope,0.0,397.0,22.9687,15.6249,0.22,108.5,False,False,
3,fbfm13,0.0,99.0,9.4853,15.9775,0.0,12.0,False,False,
4,cc,0.0,95.0,12.0178,15.403,46.0,69.5,False,False,
5,ch,0.0,509.0,49.9854,48.0738,45.35,327.5,False,False,
6,cbh,0.0,100.0,6.7772,12.8621,48.92,101.0,False,False,
7,cbd,0.0,45.0,2.0078,3.3232,48.35,30.5,False,False,
8,temperature,52.50251007080078,119.3041763305664,78.6556,0.0,0.0,1.0,False,True,
9,humidity,5.601377964019775,93.25514221191406,59.0387,0.0,0.0,1.0,False,True,
10,cloud_cover,4.1707305908203125,99.72035217285156,56.7872,0.0,0.0,1.0,False,True,
11,precipitation,0.0008159583667293191,0.4966106712818146,0.2561,0.0,0.0,1.0,True,True,
12,wind_direction,0.6461310386657715,359.97503662109375,220.6056,0.0,0.0,1.0,False,True,
13,wind_speed,0.24854397773742676,29.889053344726562,12.2777,0.0,0.0,1.0,False,True,
